employeeid,sick,vl,emer,type,start,end
10001,4,10,5,sick,5/23/2023,5/24/2023
10001,3.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,3.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,3.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,3.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,3.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,2.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,1.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,0.0,10.0,5.0,Sick,5-23-2023,5-24-2023
10001,0.0,10.0,4.0,Vacation,5-23-2023,5-24-2023
10001,0.0,10.0,3.0,Vacation,5-23-2023,5-24-2023
10001,0.0,8.0,3.0,Emergency,5-10-2023,5-12-2023
10001,0.0,8.0,1.0,Vacation,5-10-2023,5-12-2023
10001,-5.0,8.0,1.0,Sick,5-10-2023,5-15-2023
10001,-5.0,8.0,-4.0,Vacation,5-10-2023,5-15-2023
